uuid,Word,FirstLetter,SecondLetter,ThirdLetter,FouthLetter,FifthLetter,SixthLetter,SeventhLetter,Length,Best
1,AARRGHH,A,A,R,R,G,H,H,7,B
2,ABACTOR,A,B,A,C,T,O,R,7,B
3,ABALONE,A,B,A,L,O,N,E,7,B
4,ABANDED,A,B,A,N,D,E,D,7,B
5,ABANDON,A,B,A,N,D,O,N,7,B
6,ABASERS,A,B,A,S,E,R,S,7,B
7,ABASHED,A,B,A,S,H,E,D,7,B
8,ABASHES,A,B,A,S,H,E,S,7,B
9,ABASIAS,A,B,A,S,I,A,S,7,B
10,ABASING,A,B,A,S,I,N,G,7,B
11,ABATERS,A,B,A,T,E,R,S,7,B
12,ABATING,A,B,A,T,I,N,G,7,B
13,ABATORS,A,B,A,T,O,R,S,7,B
14,ABATTIS,A,B,A,T,T,I,S,7,B
15,ABATURE,A,B,A,T,U,R,E,7,B
16,ABAXIAL,A,B,A,X,I,A,L,7,B
17,ABAXILE,A,B,A,X,I,L,E,7,B
18,ABBOTCY,A,B,B,O,T,C,Y,7,B
19,ABDOMEN,A,B,D,O,M,E,N,7,B
20,ABDUCED,A,B,D,U,C,E,D,7,B
21,ABDUCES,A,B,D,U,C,E,S,7,B
22,ABDUCTS,A,B,D,U,C,T,S,7,B
23,ABELIAN,A,B,E,L,I,A,N,7,B
24,ABELIAS,A,B,E,L,I,A,S,7,B
25,ABETTAL,A,B,E,T,T,A,L,7,B
26,ABETTED,A,B,E,T,T,E,D,7,B
27,ABETTER,A,B,E,T,T,E,R,7,B
28,ABETTOR,A,B,E,T,T,O,R,7,B
29,ABEYANT,A,B,E,Y,A,N,T,7,B
30,ABFARAD,A,B,F,A,R,A,D,7,B
31,ABHENRY,A,B,H,E,N,R,Y,7,B
32,ABIDDEN,A,B,I,D,D,E,N,7,B
33,ABIDERS,A,B,I,D,E,R,S,7,B
34,ABIDING,A,B,I,D,I,N,G,7,B
35,ABIETIC,A,B,I,E,T,I,C,7,B
36,ABIGAIL,A,B,I,G,A,I,L,7,B
37,ABILITY,A,B,I,L,I,T,Y,7,B
38,ABIOSES,A,B,I,O,S,E,S,7,B
39,ABIOSIS,A,B,I,O,S,I,S,7,B
40,ABIOTIC,A,B,I,O,T,I,C,7,B
41,ABJECTS,A,B,J,E,C,T,S,7,B
42,ABJOINT,A,B,J,O,I,N,T,7,B
43,ABJURED,A,B,J,U,R,E,D,7,B
44,ABJURER,A,B,J,U,R,E,R,7,B
45,ABJURES,A,B,J,U,R,E,S,7,B
46,ABLATED,A,B,L,A,T,E,D,7,B
47,ABLATES,A,B,L,A,T,E,S,7,B
48,ABLATOR,A,B,L,A,T,O,R,7,B
49,ABLAUTS,A,B,L,A,U,T,S,7,B
50,ABLEISM,A,B,L,E,I,S,M,7,B
51,ABLEIST,A,B,L,E,I,S,T,7,B
52,ABLINGS,A,B,L,I,N,G,S,7,B
53,ABLUENT,A,B,L,U,E,N,T,7,B
54,ABLUTED,A,B,L,U,T,E,D,7,B
55,ABODING,A,B,O,D,I,N,G,7,B
56,ABOLISH,A,B,O,L,I,S,H,7,B
57,ABOLLAE,A,B,O,L,L,A,E,7,B
58,ABOLLAS,A,B,O,L,L,A,S,7,B
59,ABOMASA,A,B,O,M,A,S,A,7,B
60,ABOMASI,A,B,O,M,A,S,I,7,B
61,ABORDED,A,B,O,R,D,E,D,7,B
62,ABORTED,A,B,O,R,T,E,D,7,B
63,ABORTEE,A,B,O,R,T,E,E,7,B
64,ABORTER,A,B,O,R,T,E,R,7,B
65,ABORTUS,A,B,O,R,T,U,S,7,B
66,ABOUGHT,A,B,O,U,G,H,T,7,B
67,ABOULIA,A,B,O,U,L,I,A,7,B
68,ABOULIC,A,B,O,U,L,I,C,7,B
69,ABOUNDS,A,B,O,U,N,D,S,7,B
70,ABRADED,A,B,R,A,D,E,D,7,B
71,ABRADER,A,B,R,A,D,E,R,7,B
72,ABRADES,A,B,R,A,D,E,S,7,B
73,ABRAIDS,A,B,R,A,I,D,S,7,B
74,ABRASAX,A,B,R,A,S,A,X,7,B
75,ABRAXAS,A,B,R,A,X,A,S,7,B
76,ABRAYED,A,B,R,A,Y,E,D,7,B
77,ABRAZOS,A,B,R,A,Z,O,S,7,B
78,ABREACT,A,B,R,E,A,C,T,7,B
79,ABREAST,A,B,R,E,A,S,T,7,B
80,ABREGES,A,B,R,E,G,E,S,7,B
81,ABRIDGE,A,B,R,I,D,G,E,7,B
82,ABROACH,A,B,R,O,A,C,H,7,B
83,ABROADS,A,B,R,O,A,D,S,7,B
84,ABROOKE,A,B,R,O,O,K,E,7,B
